feature,shap_importance,iteration,stance,model
joy,1.8502191,1,FAVOR,XGBoost
punctuation_density,0.72800857,1,FAVOR,XGBoost
anger,0.71902543,1,FAVOR,XGBoost
disgust,0.55389094,1,FAVOR,XGBoost
sentiment_subjectivity,0.4510198,1,FAVOR,XGBoost
surprise,0.3921125,1,FAVOR,XGBoost
avg_word_length,0.39003477,1,FAVOR,XGBoost
pronoun_ratio,0.35938203,1,FAVOR,XGBoost
sadness,0.326688,1,FAVOR,XGBoost
subordinate_clause_ratio,0.31972882,1,FAVOR,XGBoost
adj_ratio,0.28624788,1,FAVOR,XGBoost
word_count,0.2675709,1,FAVOR,XGBoost
fear,0.26633522,1,FAVOR,XGBoost
noun_ratio,0.23313746,1,FAVOR,XGBoost
sentiment_polarity,0.22251882,1,FAVOR,XGBoost
hedges_score,0.22068438,1,FAVOR,XGBoost
readability_score,0.21873122,1,FAVOR,XGBoost
stopword_ratio,0.21610287,1,FAVOR,XGBoost
sentence_length_variation,0.16712284,1,FAVOR,XGBoost
verb_ratio,0.1580653,1,FAVOR,XGBoost
type_token_ratio,0.12554735,1,FAVOR,XGBoost
punctuation_usage,0.10432911,1,FAVOR,XGBoost
std_word_length,0.086599514,1,FAVOR,XGBoost
function_word_ratio,0.07918656,1,FAVOR,XGBoost
certainty_verbs_count,0.035990622,1,FAVOR,XGBoost
hapax_legomena,0.03147634,1,FAVOR,XGBoost
adv_ratio,0.029851964,1,FAVOR,XGBoost
hedge_C_count,0.028583957,1,FAVOR,XGBoost
sentence_count,0.021178804,1,FAVOR,XGBoost
doubt_adverbs_count,0.018903341,1,FAVOR,XGBoost
certainty_adverbs_count,0.0,1,FAVOR,XGBoost
avg_dependency_depth,0.0,1,FAVOR,XGBoost
doubt_verbs_count,0.0,1,FAVOR,XGBoost
certainty_adjectives_count,0.0,1,FAVOR,XGBoost
doubt_adjectives_count,0.0,1,FAVOR,XGBoost
hedge_D_count,0.0,1,FAVOR,XGBoost
hedge_E_count,0.0,1,FAVOR,XGBoost
hedge_I_count,0.0,1,FAVOR,XGBoost
hedge_N_count,0.0,1,FAVOR,XGBoost
C_ratio,0.0,1,FAVOR,XGBoost
D_ratio,0.0,1,FAVOR,XGBoost
E_ratio,0.0,1,FAVOR,XGBoost
I_ratio,0.0,1,FAVOR,XGBoost
N_ratio,0.0,1,FAVOR,XGBoost
