feature,shap_importance,iteration,stance,model
verb_ratio,0.50735563,11,All_Stances,XGBoost
type_token_ratio,0.4232737,11,All_Stances,XGBoost
anger,0.41470006,11,All_Stances,XGBoost
sadness,0.32470655,11,All_Stances,XGBoost
noun_ratio,0.32231346,11,All_Stances,XGBoost
fear,0.31114027,11,All_Stances,XGBoost
hedge_C_count,0.30142453,11,All_Stances,XGBoost
disgust,0.29553208,11,All_Stances,XGBoost
surprise,0.28468615,11,All_Stances,XGBoost
avg_word_length,0.27158892,11,All_Stances,XGBoost
certainty_adjectives_count,0.24422319,11,All_Stances,XGBoost
function_word_ratio,0.21741512,11,All_Stances,XGBoost
subordinate_clause_ratio,0.20876546,11,All_Stances,XGBoost
joy,0.20268403,11,All_Stances,XGBoost
readability_score,0.19990928,11,All_Stances,XGBoost
certainty_verbs_count,0.19882324,11,All_Stances,XGBoost
punctuation_density,0.19195805,11,All_Stances,XGBoost
word_count,0.18850921,11,All_Stances,XGBoost
stopword_ratio,0.17784889,11,All_Stances,XGBoost
sentiment_subjectivity,0.17661463,11,All_Stances,XGBoost
std_word_length,0.16213806,11,All_Stances,XGBoost
punctuation_usage,0.1358769,11,All_Stances,XGBoost
sentiment_polarity,0.13535684,11,All_Stances,XGBoost
adj_ratio,0.13517596,11,All_Stances,XGBoost
pronoun_ratio,0.11605869,11,All_Stances,XGBoost
adv_ratio,0.11129564,11,All_Stances,XGBoost
hapax_legomena,0.10196273,11,All_Stances,XGBoost
sentence_length_variation,0.077852346,11,All_Stances,XGBoost
sentence_count,0.06606416,11,All_Stances,XGBoost
doubt_adverbs_count,0.05970336,11,All_Stances,XGBoost
C_ratio,0.05968165,11,All_Stances,XGBoost
hedges_score,0.048482932,11,All_Stances,XGBoost
certainty_adverbs_count,0.023885036,11,All_Stances,XGBoost
doubt_adjectives_count,0.0206346,11,All_Stances,XGBoost
D_ratio,0.015797142,11,All_Stances,XGBoost
E_ratio,0.0036283976,11,All_Stances,XGBoost
N_ratio,0.003610652,11,All_Stances,XGBoost
avg_dependency_depth,0.0,11,All_Stances,XGBoost
hedge_D_count,0.0,11,All_Stances,XGBoost
doubt_verbs_count,0.0,11,All_Stances,XGBoost
hedge_N_count,0.0,11,All_Stances,XGBoost
hedge_I_count,0.0,11,All_Stances,XGBoost
hedge_E_count,0.0,11,All_Stances,XGBoost
I_ratio,0.0,11,All_Stances,XGBoost
