feature,shap_importance,iteration,stance,model
anger,0.57164514,12,NONE,XGBoost
joy,0.5691994,12,NONE,XGBoost
verb_ratio,0.5197189,12,NONE,XGBoost
fear,0.5100753,12,NONE,XGBoost
std_word_length,0.4182802,12,NONE,XGBoost
type_token_ratio,0.4178818,12,NONE,XGBoost
stopword_ratio,0.4116654,12,NONE,XGBoost
disgust,0.37529895,12,NONE,XGBoost
surprise,0.34928322,12,NONE,XGBoost
punctuation_usage,0.310561,12,NONE,XGBoost
subordinate_clause_ratio,0.3070881,12,NONE,XGBoost
readability_score,0.3030361,12,NONE,XGBoost
sadness,0.25776246,12,NONE,XGBoost
avg_word_length,0.2559763,12,NONE,XGBoost
adj_ratio,0.24824792,12,NONE,XGBoost
punctuation_density,0.24803928,12,NONE,XGBoost
noun_ratio,0.24345455,12,NONE,XGBoost
function_word_ratio,0.23488897,12,NONE,XGBoost
adv_ratio,0.2103424,12,NONE,XGBoost
pronoun_ratio,0.20827119,12,NONE,XGBoost
sentiment_polarity,0.1727857,12,NONE,XGBoost
sentiment_subjectivity,0.1609871,12,NONE,XGBoost
word_count,0.13245288,12,NONE,XGBoost
hedge_C_count,0.11491407,12,NONE,XGBoost
sentence_length_variation,0.11102754,12,NONE,XGBoost
sentence_count,0.09571964,12,NONE,XGBoost
hapax_legomena,0.08819339,12,NONE,XGBoost
certainty_adjectives_count,0.068086535,12,NONE,XGBoost
doubt_adverbs_count,0.059694435,12,NONE,XGBoost
certainty_verbs_count,0.045541,12,NONE,XGBoost
E_ratio,0.03253049,12,NONE,XGBoost
hedges_score,0.004628716,12,NONE,XGBoost
certainty_adverbs_count,0.0,12,NONE,XGBoost
avg_dependency_depth,0.0,12,NONE,XGBoost
doubt_adjectives_count,0.0,12,NONE,XGBoost
doubt_verbs_count,0.0,12,NONE,XGBoost
hedge_D_count,0.0,12,NONE,XGBoost
hedge_E_count,0.0,12,NONE,XGBoost
hedge_N_count,0.0,12,NONE,XGBoost
hedge_I_count,0.0,12,NONE,XGBoost
C_ratio,0.0,12,NONE,XGBoost
D_ratio,0.0,12,NONE,XGBoost
I_ratio,0.0,12,NONE,XGBoost
N_ratio,0.0,12,NONE,XGBoost
