feature,shap_importance,iteration,stance,model
std_word_length,0.78678393,2,AGAINST,XGBoost
function_word_ratio,0.7041761,2,AGAINST,XGBoost
anger,0.573546,2,AGAINST,XGBoost
disgust,0.5326363,2,AGAINST,XGBoost
punctuation_density,0.50759757,2,AGAINST,XGBoost
avg_word_length,0.4798181,2,AGAINST,XGBoost
type_token_ratio,0.47456804,2,AGAINST,XGBoost
readability_score,0.4627782,2,AGAINST,XGBoost
word_count,0.38106313,2,AGAINST,XGBoost
fear,0.36616477,2,AGAINST,XGBoost
verb_ratio,0.30228567,2,AGAINST,XGBoost
noun_ratio,0.2884494,2,AGAINST,XGBoost
surprise,0.26410308,2,AGAINST,XGBoost
adv_ratio,0.24935094,2,AGAINST,XGBoost
joy,0.23309898,2,AGAINST,XGBoost
sentiment_subjectivity,0.22730504,2,AGAINST,XGBoost
sadness,0.21341681,2,AGAINST,XGBoost
stopword_ratio,0.18432884,2,AGAINST,XGBoost
sentence_length_variation,0.17287529,2,AGAINST,XGBoost
adj_ratio,0.11872349,2,AGAINST,XGBoost
sentence_count,0.09894875,2,AGAINST,XGBoost
hedge_C_count,0.092390396,2,AGAINST,XGBoost
subordinate_clause_ratio,0.06993724,2,AGAINST,XGBoost
pronoun_ratio,0.046314582,2,AGAINST,XGBoost
hapax_legomena,0.030953312,2,AGAINST,XGBoost
punctuation_usage,0.0307743,2,AGAINST,XGBoost
hedges_score,0.018972104,2,AGAINST,XGBoost
doubt_adverbs_count,0.016584922,2,AGAINST,XGBoost
sentiment_polarity,0.014381391,2,AGAINST,XGBoost
E_ratio,0.010958012,2,AGAINST,XGBoost
certainty_adverbs_count,0.0,2,AGAINST,XGBoost
avg_dependency_depth,0.0,2,AGAINST,XGBoost
doubt_verbs_count,0.0,2,AGAINST,XGBoost
certainty_adjectives_count,0.0,2,AGAINST,XGBoost
doubt_adjectives_count,0.0,2,AGAINST,XGBoost
certainty_verbs_count,0.0,2,AGAINST,XGBoost
hedge_D_count,0.0,2,AGAINST,XGBoost
hedge_E_count,0.0,2,AGAINST,XGBoost
hedge_N_count,0.0,2,AGAINST,XGBoost
hedge_I_count,0.0,2,AGAINST,XGBoost
C_ratio,0.0,2,AGAINST,XGBoost
D_ratio,0.0,2,AGAINST,XGBoost
I_ratio,0.0,2,AGAINST,XGBoost
N_ratio,0.0,2,AGAINST,XGBoost
