feature,shap_importance,iteration,stance,model
function_word_ratio,0.91464144,5,NONE,XGBoost
fear,0.8649961,5,NONE,XGBoost
anger,0.7005161,5,NONE,XGBoost
noun_ratio,0.664691,5,NONE,XGBoost
avg_word_length,0.4379506,5,NONE,XGBoost
disgust,0.42791897,5,NONE,XGBoost
pronoun_ratio,0.4114059,5,NONE,XGBoost
sadness,0.40827376,5,NONE,XGBoost
verb_ratio,0.40695113,5,NONE,XGBoost
surprise,0.32578123,5,NONE,XGBoost
adj_ratio,0.32104003,5,NONE,XGBoost
word_count,0.29843146,5,NONE,XGBoost
readability_score,0.26512402,5,NONE,XGBoost
punctuation_density,0.23679808,5,NONE,XGBoost
std_word_length,0.23633741,5,NONE,XGBoost
type_token_ratio,0.23268586,5,NONE,XGBoost
certainty_adjectives_count,0.23077118,5,NONE,XGBoost
stopword_ratio,0.22785175,5,NONE,XGBoost
punctuation_usage,0.21144761,5,NONE,XGBoost
joy,0.19313964,5,NONE,XGBoost
subordinate_clause_ratio,0.19155304,5,NONE,XGBoost
sentiment_subjectivity,0.17157951,5,NONE,XGBoost
hapax_legomena,0.13920906,5,NONE,XGBoost
sentiment_polarity,0.1205504,5,NONE,XGBoost
N_ratio,0.11356026,5,NONE,XGBoost
adv_ratio,0.11160608,5,NONE,XGBoost
hedge_C_count,0.086800575,5,NONE,XGBoost
certainty_verbs_count,0.0729067,5,NONE,XGBoost
sentence_count,0.06985592,5,NONE,XGBoost
sentence_length_variation,0.068555616,5,NONE,XGBoost
doubt_adjectives_count,0.044353057,5,NONE,XGBoost
C_ratio,0.033923507,5,NONE,XGBoost
hedges_score,0.02641671,5,NONE,XGBoost
doubt_adverbs_count,0.023005316,5,NONE,XGBoost
hedge_N_count,0.021256104,5,NONE,XGBoost
certainty_adverbs_count,0.012286937,5,NONE,XGBoost
D_ratio,0.0050790133,5,NONE,XGBoost
doubt_verbs_count,0.0048462846,5,NONE,XGBoost
avg_dependency_depth,0.0,5,NONE,XGBoost
hedge_D_count,0.0,5,NONE,XGBoost
hedge_E_count,0.0,5,NONE,XGBoost
hedge_I_count,0.0,5,NONE,XGBoost
E_ratio,0.0,5,NONE,XGBoost
I_ratio,0.0,5,NONE,XGBoost
