feature,shap_importance,iteration,stance,model
joy,1.822466,7,FAVOR,XGBoost
stopword_ratio,0.9647517,7,FAVOR,XGBoost
function_word_ratio,0.75426733,7,FAVOR,XGBoost
noun_ratio,0.73704916,7,FAVOR,XGBoost
pronoun_ratio,0.5737855,7,FAVOR,XGBoost
fear,0.5702153,7,FAVOR,XGBoost
anger,0.5170561,7,FAVOR,XGBoost
disgust,0.37883216,7,FAVOR,XGBoost
adj_ratio,0.3409368,7,FAVOR,XGBoost
sentiment_subjectivity,0.2705026,7,FAVOR,XGBoost
verb_ratio,0.25488934,7,FAVOR,XGBoost
punctuation_usage,0.24094112,7,FAVOR,XGBoost
punctuation_density,0.22718228,7,FAVOR,XGBoost
hapax_legomena,0.21940643,7,FAVOR,XGBoost
sadness,0.18089983,7,FAVOR,XGBoost
sentence_length_variation,0.1765072,7,FAVOR,XGBoost
readability_score,0.15120019,7,FAVOR,XGBoost
avg_word_length,0.13983826,7,FAVOR,XGBoost
std_word_length,0.1311281,7,FAVOR,XGBoost
type_token_ratio,0.117482215,7,FAVOR,XGBoost
surprise,0.11239046,7,FAVOR,XGBoost
sentence_count,0.111929186,7,FAVOR,XGBoost
word_count,0.103608556,7,FAVOR,XGBoost
doubt_adverbs_count,0.08820547,7,FAVOR,XGBoost
subordinate_clause_ratio,0.08810114,7,FAVOR,XGBoost
hedge_C_count,0.06568301,7,FAVOR,XGBoost
E_ratio,0.052237134,7,FAVOR,XGBoost
adv_ratio,0.0,7,FAVOR,XGBoost
certainty_adverbs_count,0.0,7,FAVOR,XGBoost
sentiment_polarity,0.0,7,FAVOR,XGBoost
avg_dependency_depth,0.0,7,FAVOR,XGBoost
certainty_adjectives_count,0.0,7,FAVOR,XGBoost
doubt_verbs_count,0.0,7,FAVOR,XGBoost
doubt_adjectives_count,0.0,7,FAVOR,XGBoost
hedges_score,0.0,7,FAVOR,XGBoost
certainty_verbs_count,0.0,7,FAVOR,XGBoost
hedge_D_count,0.0,7,FAVOR,XGBoost
hedge_E_count,0.0,7,FAVOR,XGBoost
hedge_N_count,0.0,7,FAVOR,XGBoost
hedge_I_count,0.0,7,FAVOR,XGBoost
C_ratio,0.0,7,FAVOR,XGBoost
D_ratio,0.0,7,FAVOR,XGBoost
I_ratio,0.0,7,FAVOR,XGBoost
N_ratio,0.0,7,FAVOR,XGBoost
