feature,mean_feat_when_shap_positive,std_feat_when_shap_positive,count_shap_positive,mean_feat_when_shap_negative,std_feat_when_shap_negative,count_shap_negative,overall_mean_feat,overall_std_feat,feature_shap_correlation,total_observations
word_count,-0.31684588542012987,0.8036503895351275,655,0.3635162414420746,1.0312781430307294,637,0.018595813350167578,0.9833162051797815,-0.5239781147822508,1292
sentence_count,-0.03580809236951385,0.9372771216822565,688,0.3204711616915301,1.1334281122248893,604,0.13074970132465843,1.048401737919625,-0.36198949864544255,1292
avg_word_length,-0.05983507298349672,0.921691136656948,652,0.030736840322192392,0.9540997577850078,640,-0.014969728931142982,0.9386152420830192,-0.23269843823986358,1292
std_word_length,-0.07754436741911004,1.1048017911436545,618,0.29798467032184134,1.0708874541674733,674,0.11835855165008596,1.1029019842734151,-0.03504451972706028,1292
type_token_ratio,0.010392728015136044,0.9984565662745902,633,-0.13475245164535501,1.0179503071850309,659,-0.06364030092934045,1.0106662569121367,-0.06116450685815267,1292
hapax_legomena,-0.13122941202795235,0.999513240633218,653,-0.005654243207839088,0.9762183369639719,639,-0.06912218843967655,0.9896731220162869,-0.07400468489719506,1292
stopword_ratio,-0.6447788645597354,0.7638741310930249,638,0.5177673579890288,0.8335770617211673,654,-0.056307324662760325,0.9886659601129294,-0.7029206559735851,1292
punctuation_density,-0.11307000295035852,0.9206178274377416,675,0.24800736628177353,1.0521953359838696,617,0.05936400387334542,1.0016445731099775,-0.44888828323644836,1292
noun_ratio,-0.6556365668530773,0.6093346908503886,771,0.6469604871208378,0.7629973648847217,521,-0.1303632966360419,0.9298189969197106,-0.7714995922324441,1292
verb_ratio,0.15473615854441777,1.1651408840554383,626,0.0396423632135545,1.083795165838274,666,0.09540762318036598,1.124979489955931,-0.23033066156723428,1292
adj_ratio,-0.5098421899521824,0.697870099515567,659,0.520469306375441,0.8760275589469682,633,-0.005053353129128595,0.9430787493737748,-0.7380636119745374,1292
adv_ratio,-0.0582372619603856,0.9328563019111153,643,0.09168250481004958,1.0112121375098218,649,0.017070732338385634,0.9755150251447611,-0.34850095450338975,1292
pronoun_ratio,-0.24844357048316576,0.7367781797682955,715,0.012988558637332417,0.9056844186803243,577,-0.13168943851526524,0.8265002850349324,-0.4050979176985859,1292
avg_dependency_depth,,,0,,,0,0.0,0.0,,1292
function_word_ratio,-0.4637272943176157,0.8648126498579111,678,0.4393484119669628,1.0282661800440218,614,-0.03455664133098161,1.0477551253931856,-0.6601352079660083,1292
punctuation_usage,-0.10176411777723061,0.732739989532779,618,0.05992646319107812,0.8188880284346505,674,-0.017414697055372973,0.7827534340610276,-0.09759133557760766,1292
readability_score,0.10709036111646719,1.098377622774483,657,-0.06271322968527997,1.0377859792125348,635,0.023634261922110024,1.0719826743417185,0.003428618567844298,1292
sentence_length_variation,0.12099714502156753,0.9336393886352293,610,-0.01993410372180317,0.8119853551604189,682,0.046604643749912106,0.8740368581201869,0.21221693299841657,1292
subordinate_clause_ratio,0.25147205377008475,1.180575034060449,617,0.1078882513690591,1.1910391837137868,675,0.17645729632372847,1.1877633643375949,0.04691999985199294,1292
sentiment_polarity,1.3186937542954815,0.8726380852642923,438,-0.5377357172322089,0.6570834263778299,854,0.09161111599467064,1.14712622407933,0.884490705550161,1292
sentiment_subjectivity,-0.17904049931847296,0.8769586190513566,677,0.2324154779220667,1.0315497166251304,615,0.01681509356305325,0.9752129596736234,-0.23421153312916246,1292
anger,-0.32518355195668136,0.44815724399019635,961,0.41399696778957107,1.351551651123188,331,-0.13581145285760274,0.848811249913422,-0.6906699087022807,1292
joy,0.8956424312555478,1.058809014621852,389,-0.47163286421641853,0.353921400133348,903,-0.05996870791719653,0.904512963599121,0.8284709902949505,1292
fear,1.0263748010668798,0.9411268187851249,601,-0.430502894519236,0.8140042581646915,691,0.24719330907771112,1.1376475281620022,0.45141036113281524,1292
sadness,-0.20336276856458804,0.6009369595279328,789,0.1540783363017428,1.0084285539148816,503,-0.06420419600439889,0.8038974847985025,-0.201596934058618,1292
disgust,-0.085643618371492,0.6378360884656016,854,0.13649105360837518,1.4221297153431338,438,-0.010337901399989012,0.9820731637668515,-0.6167598680497804,1292
surprise,0.09782013799790164,1.0113468811343718,672,-0.11585706960224543,1.1163455815247136,620,-0.004718460076472341,1.0679661825920277,-0.23043099286281388,1292
certainty_adverbs_count,-0.23496433322571442,0.4347277355207257,1017,0.7885917153656926,1.580800924289,275,-0.017102171180329813,0.9245361419239981,-0.6257484951727339,1292
certainty_verbs_count,-0.24051979647950308,0.5047344407449309,859,0.47673403617835375,1.1092516351106523,433,-0.0001398355345712197,0.834126056152659,-0.6464849500394028,1292
certainty_adjectives_count,0.37570800656008835,1.1809560098405463,534,-0.20251773607756726,0.841562884404197,758,0.0364703030621449,1.0354776343842214,0.37590505232374827,1292
doubt_adverbs_count,-0.4445891981359275,0.2978811496561905,946,0.9181884430146622,0.9329543793841727,346,-0.07963481436030515,0.8136313846447443,-0.7688859403488554,1292
doubt_verbs_count,0.02083959363037964,1.0166099908519648,684,0.07789805521731923,1.4363037749083458,608,0.04769063437717473,1.2318857986856904,-0.3503332001355755,1292
doubt_adjectives_count,-0.19072751006212246,0.7574327400600532,845,0.382373170948697,1.5411079884260885,447,0.007551131123509329,1.1269128871238714,-0.6234769311051557,1292
hedges_score,-0.03234189965581572,0.9094523542060857,678,0.04383560900559498,1.082764052523488,614,0.003860105234359338,0.9959198755884228,-0.12083683605921995,1292
hedge_C_count,-0.19719103709795707,0.8953173478013883,634,0.11253303149590807,0.9797633463931794,658,-0.03945230866547777,0.9516022340217004,-0.27675582558394374,1292
hedge_D_count,0.27628207184874737,1.4271309504458043,429,-0.06313275924011931,0.952243366583442,863,0.04956767616013128,1.1429079294019588,0.30775635847796046,1292
hedge_E_count,0.15871955238011987,1.373377480624929,432,-0.17914594372889936,0.719742814355984,860,-0.06617543728997032,0.9999032277525062,0.5040735683362777,1292
hedge_I_count,14.999999999999998,0.0,3,-0.06557099750003824,0.0022468565025929375,603,0.005000532900523942,0.7249901114872536,0.9845643430325288,1292
hedge_N_count,-0.10058719198649918,0.488656198023154,947,0.4772993418586329,1.7955672600005634,345,0.05372461465171334,1.048556311046245,-0.09262765034737984,1292
C_ratio,0.2921452134095244,0.5142141816756781,895,-0.5179466203534828,1.4274181282391458,397,0.043223806285752106,0.973595257351348,0.2955343714552044,1292
D_ratio,-0.03754362811462335,0.8214614510302156,679,0.06893779350696451,1.204511699929284,613,0.012977355982925695,1.0222488608601537,-0.41364256838521957,1292
E_ratio,-0.13830404789948772,0.6197568709609129,682,-0.07437253762504491,0.8187455005599795,610,-0.1081196661135666,0.7210064964118835,-0.033872766601698835,1292
I_ratio,15.069997834091405,2.57275497495538,3,-0.06557099750003824,0.0022468565025929375,603,0.004405197633966328,0.7348383179841844,0.9851501096638744,1292
N_ratio,-0.04345692407712718,0.8322168587627194,885,0.29104702592298115,1.5331453068384102,407,0.06191699825262832,1.1124799219502144,-0.0812304330302203,1292
