feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,,0.1050257459282875,0.9915 ± 0.0241,0.9879 ± 0.0283
E_ratio,,0.08635152876377106,0.003 ± 0.0151,0.004 ± 0.0164
N_ratio,-0.5556870370553697,,0.0035 ± 0.015,0.0052 ± 0.0188
anger*,0.7008613975247809,,0.2705 ± 0.2956,0.1658 ± 0.2118
avg_word_length*,0.6797610367153882,0.045303504914045334,4.874 ± 1.0732,4.4348 ± 0.8027
disgust,0.5169585420898142,,0.0213 ± 0.111,0.0086 ± 0.0275
fear,0.5862335696220368,,0.4386 ± 0.3691,0.45 ± 0.3765
function_word_ratio*,-0.7603737941615787,,0.2697 ± 0.1507,0.3371 ± 0.1373
hapax_legomena,-0.6821859886300877,,0.8129 ± 0.1497,0.8066 ± 0.1279
hedge_C_count*,,0.03464147076010704,18.9587 ± 10.4301,20.8471 ± 9.5268
hedge_N_count,0.5793004337620767,,0.1033 ± 0.4574,0.1198 ± 0.4151
joy*,,0.0363784022629261,0.0366 ± 0.1287,0.0664 ± 0.1736
pronoun_ratio*,,0.03928336873650551,0.0331 ± 0.0505,0.0445 ± 0.0515
punctuation_density*,,0.03885524719953537,0.3801 ± 0.2133,0.3109 ± 0.1645
sentiment_polarity*,,0.0496242418885231,0.013 ± 0.24,0.0628 ± 0.2466
std_word_length*,-0.5719217912464266,0.036731917411088943,3.5501 ± 0.9796,3.2688 ± 0.9298
surprise*,,0.03999119997024536,0.047 ± 0.1279,0.0783 ± 0.1506
type_token_ratio,0.526952972838716,,0.8904 ± 0.0979,0.8863 ± 0.0813
