feature,mi_score
joy,0.1290327040579613
noun_ratio,0.09094162659455796
sentence_length_variation,0.09086594529979553
anger,0.09071674757927517
stopword_ratio,0.0903697777877559
surprise,0.08797167476848222
punctuation_density,0.07762653942833952
std_word_length,0.06399950677675048
hedge_E_count,0.06364675433820399
subordinate_clause_ratio,0.06345418787963641
hedge_C_count,0.05722172978245732
fear,0.05003586458096132
hedge_N_count,0.04711550205565662
disgust,0.04669101132032516
word_count,0.045786182323431124
N_ratio,0.0408227364802789
pronoun_ratio,0.0384499099915927
doubt_adverbs_count,0.03494170760702198
verb_ratio,0.03271085874254509
hapax_legomena,0.03199111920120101
certainty_verbs_count,0.028923524058019012
sadness,0.026003128161678157
hedges_score,0.02466345572750539
function_word_ratio,0.016779212372389107
doubt_verbs_count,0.015371601885590502
doubt_adjectives_count,0.014314228775108573
avg_word_length,0.013856072151168686
type_token_ratio,0.013500168051721273
E_ratio,0.011876725668983568
sentiment_polarity,0.01151957865194042
readability_score,0.007601561764513987
adv_ratio,0.006995613351113761
hedge_I_count,0.0057499796458637675
sentence_count,0.005055464366380491
adj_ratio,0.0
avg_dependency_depth,0.0
certainty_adverbs_count,0.0
sentiment_subjectivity,0.0
punctuation_usage,0.0
certainty_adjectives_count,0.0
hedge_D_count,0.0
C_ratio,0.0
D_ratio,0.0
I_ratio,0.0
