feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
N_ratio,0.43293162673318064,,0.004,0.0052,0.004 ± 0.015,0.0052 ± 0.0188,0.08304177969694138
certainty_adjectives_count,0.49605627437134003,,0.3678,0.3306,0.3678 ± 0.6386,0.3306 ± 0.5599,0.07286665588617325
certainty_verbs_count*,3.021114936428976e-06,*,0.7231,0.3967,0.7231 ± 0.821,0.3967 ± 0.6935,0.06610312312841415
joy*,0.010874350610521432,*,0.0322,0.0664,0.0322 ± 0.1155,0.0664 ± 0.1736,0.04696393385529518
hedges_score,0.4070747161970024,,0.2039,0.1753,0.2039 ± 0.3876,0.1753 ± 0.3689,0.04367316886782646
word_count*,0.007069319381732425,*,30.2273,27.2025,30.2273 ± 12.7846,27.2025 ± 11.7951,0.04197343438863754
anger*,1.112930327607166e-06,*,0.2842,0.1658,0.2842 ± 0.3076,0.1658 ± 0.2118,0.041614823043346405
doubt_adverbs_count,0.32365195738460095,,0.3017,0.3554,0.3017 ± 0.5938,0.3554 ± 0.6023,0.04037659242749214
E_ratio,0.11480304649269604,,0.0021,0.004,0.0021 ± 0.0094,0.004 ± 0.0164,0.03762398660182953
C_ratio,0.2094062885073714,,0.9908,0.9879,0.9908 ± 0.0216,0.9879 ± 0.0283,0.03761325776576996
avg_word_length,0.36341539699869907,,4.5028,4.4348,4.5028 ± 0.8405,4.4348 ± 0.8027,0.034720927476882935
sentiment_subjectivity*,0.013610918855319376,*,0.38,0.3112,0.38 ± 0.3281,0.3112 ± 0.2814,0.03366988152265549
fear,0.8208154998824965,,0.4578,0.45,0.4578 ± 0.3789,0.45 ± 0.3765,0.03286093473434448
disgust*,0.021498971602202294,*,0.0267,0.0086,0.0267 ± 0.1183,0.0086 ± 0.0275,0.02766559273004532
surprise*,0.021132481433753507,*,0.0477,0.0783,0.0477 ± 0.1403,0.0783 ± 0.1506,0.026288151741027832
stopword_ratio,0.10418262844384413,,0.291,0.2727,0.291 ± 0.1267,0.2727 ± 0.1208,0.025873439386487007
adj_ratio,0.38980990902958845,,0.0586,0.0624,0.0586 ± 0.0459,0.0624 ± 0.0493,0.02214859239757061
punctuation_density,0.060694236911549154,,0.2821,0.3109,0.2821 ± 0.1717,0.3109 ± 0.1645,0.021737905219197273
readability_score*,0.021175975946887415,*,9.4144,8.5089,9.4144 ± 4.7004,8.5089 ± 3.8744,0.021289339289069176
verb_ratio,0.21279205331176085,,0.1286,0.1356,0.1286 ± 0.0634,0.1356 ± 0.0615,0.021250197663903236
sentence_length_variation,0.4532152170075918,,3.2575,3.0208,3.2575 ± 3.5711,3.0208 ± 3.364,0.021224260330200195
type_token_ratio*,0.00891720391214685,*,0.8669,0.8863,0.8669 ± 0.0815,0.8863 ± 0.0813,0.02075631357729435
sentiment_polarity*,0.01389724883385003,*,0.0016,0.0628,0.0016 ± 0.297,0.0628 ± 0.2466,0.02041339874267578
sadness,0.22139671354402068,,0.0809,0.1004,0.0809 ± 0.1759,0.1004 ± 0.1739,0.01995203271508217
adv_ratio,0.8870927298781374,,0.0383,0.0377,0.0383 ± 0.0424,0.0377 ± 0.0474,0.017168955877423286
pronoun_ratio,0.2821895663516553,,0.0495,0.0445,0.0495 ± 0.0495,0.0445 ± 0.0515,0.01661224476993084
hedge_N_count,0.9134865054393149,,0.1157,0.1198,0.1157 ± 0.4212,0.1198 ± 0.4151,0.015491816215217113
punctuation_usage,0.3845620620694762,,0.0762,0.0807,0.0762 ± 0.0514,0.0807 ± 0.0609,0.013816780410706997
subordinate_clause_ratio,0.5739461293040741,,0.0504,0.048,0.0504 ± 0.0459,0.048 ± 0.047,0.013805058784782887
std_word_length,0.7041983944268023,,3.3021,3.2688,3.3021 ± 0.9986,3.2688 ± 0.9298,0.01354900747537613
hedge_C_count*,0.0012646894476129075,*,23.8636,20.8471,23.8636 ± 10.8911,20.8471 ± 9.5268,0.013070689514279366
hapax_legomena*,0.006886929202118491,*,0.7753,0.8066,0.7753 ± 0.1259,0.8066 ± 0.1279,0.012794146314263344
noun_ratio,0.3582331671870549,,0.3484,0.3593,0.3484 ± 0.1315,0.3593 ± 0.1279,0.010375745594501495
function_word_ratio,0.689022737968003,,0.3422,0.3371,0.3422 ± 0.1421,0.3371 ± 0.1373,0.008968997746706009
sentence_count,0.21748792142004136,,2.343,2.1942,2.343 ± 1.3272,2.1942 ± 1.3231,0.0026449188590049744
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.0553230919560573,,0.2521,0.1653,0.2521 ± 0.5602,0.1653 ± 0.4243,
hedge_D_count,0.08410538702620433,,0.095,0.0496,0.095 ± 0.3458,0.0496 ± 0.2175,
doubt_verbs_count,0.36123170322527587,,0.0165,0.0289,0.0165 ± 0.1278,0.0289 ± 0.1679,
doubt_adjectives_count,1.0,,0.1074,0.1074,0.1074 ± 0.3103,0.1074 ± 0.3234,
hedge_E_count,0.3703228138728104,,0.0537,0.0744,0.0537 ± 0.2259,0.0744 ± 0.2783,
hedge_I_count,0.2559908404621418,,0.0041,0.0165,0.0041 ± 0.0643,0.0165 ± 0.1569,
D_ratio,0.43944582632447204,,0.003,0.0022,0.003 ± 0.0119,0.0022 ± 0.0104,
I_ratio,0.2651917049378735,,0.0001,0.0007,0.0001 ± 0.0019,0.0007 ± 0.0072,
