Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
joy,-0.597,yes,Cliff's delta (large),↓ Misclass,"35.2% (FAVOR: (-0.000735, 0.00541])"
hedge_I_count,-0.429,yes,Cliff's delta (negligible),↓ Misclass,"17.1% (FAVOR: (-0.001, 1.0])"
I_ratio,+0.376,yes,Cliff's delta (negligible),↑ Misclass,"17.1% (FAVOR: (-0.001, 0.0417])"
hedge_E_count,-0.296,No,-,↓ Misclass,-
E_ratio,+0.248,No,-,↑ Misclass,-
hapax_legomena,-0.203,No,-,↓ Misclass,-
type_token_ratio,+0.199,No,-,↑ Misclass,-
sentence_length_variation,+0.190,No,-,↑ Misclass,-
certainty_verbs_count,-0.186,yes,Cliff's delta (negligible),↓ Misclass,"19.3% (FAVOR: (-0.001, 1.0])"
fear,-0.184,No,-,↓ Misclass,-
