Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
sadness,-0.347,yes,Cliff's delta (negligible),↓ Misclass,"41.4\% ((0.0002099999999999999, 0.0121])"
anger,-0.327,yes,Cliff's delta (negligible),↓ Misclass,"33.3\% ((0.0183, 0.078])"
disgust,-0.326,yes,Cliff's delta (small),↓ Misclass,"31.0\% ((-0.000872, 0.00045])"
avg_word_length,-0.312,yes,Cliff's delta (medium),↓ Misclass,"42.1\% ((3.901, 4.415])"
noun_ratio,+0.295,yes,Cliff's delta (medium),↑ Misclass,"36.2\% ((0.281, 0.364])"
adj_ratio,+0.287,yes,Cliff's delta (small),↑ Misclass,"27.7\% ((-0.001, 0.0588])"
punctuation_density,+0.276,yes,Cliff's delta (small),↑ Misclass,"45.8\% ((-0.001, 0.2])"
function_word_ratio,+0.261,yes,Cliff's delta (medium),↑ Misclass,"38.3\% ((0.301, 0.4])"
std_word_length,+0.177,yes,Cliff's delta (medium),↑ Misclass,"39.7\% ((1.5990000000000002, 2.77])"
verb_ratio,+0.146,yes,Cliff's delta (medium),↑ Misclass,"44.4\% ((0.167, 0.364])"
