feature,shap_importance,iteration,stance,model
disgust,0.9774164,4,AGAINST,XGBoost
punctuation_density,0.76031727,4,AGAINST,XGBoost
function_word_ratio,0.74577886,4,AGAINST,XGBoost
avg_word_length,0.7366962,4,AGAINST,XGBoost
noun_ratio,0.6509668,4,AGAINST,XGBoost
joy,0.6329927,4,AGAINST,XGBoost
sentiment_subjectivity,0.6249502,4,AGAINST,XGBoost
std_word_length,0.5672953,4,AGAINST,XGBoost
adj_ratio,0.3515449,4,AGAINST,XGBoost
verb_ratio,0.34919953,4,AGAINST,XGBoost
sadness,0.27766556,4,AGAINST,XGBoost
surprise,0.22360472,4,AGAINST,XGBoost
punctuation_usage,0.22044195,4,AGAINST,XGBoost
anger,0.19396958,4,AGAINST,XGBoost
readability_score,0.15222332,4,AGAINST,XGBoost
hedge_C_count,0.15047763,4,AGAINST,XGBoost
fear,0.1493821,4,AGAINST,XGBoost
sentence_length_variation,0.14785424,4,AGAINST,XGBoost
word_count,0.13781103,4,AGAINST,XGBoost
type_token_ratio,0.12693739,4,AGAINST,XGBoost
subordinate_clause_ratio,0.12558296,4,AGAINST,XGBoost
sentiment_polarity,0.120404065,4,AGAINST,XGBoost
stopword_ratio,0.06571756,4,AGAINST,XGBoost
doubt_adjectives_count,0.053153224,4,AGAINST,XGBoost
C_ratio,0.037140757,4,AGAINST,XGBoost
hapax_legomena,0.03509722,4,AGAINST,XGBoost
sentence_count,0.03288256,4,AGAINST,XGBoost
pronoun_ratio,0.025775986,4,AGAINST,XGBoost
adv_ratio,0.019517094,4,AGAINST,XGBoost
hedges_score,0.012894063,4,AGAINST,XGBoost
certainty_adverbs_count,0.0,4,AGAINST,XGBoost
avg_dependency_depth,0.0,4,AGAINST,XGBoost
doubt_verbs_count,0.0,4,AGAINST,XGBoost
doubt_adverbs_count,0.0,4,AGAINST,XGBoost
certainty_adjectives_count,0.0,4,AGAINST,XGBoost
certainty_verbs_count,0.0,4,AGAINST,XGBoost
hedge_D_count,0.0,4,AGAINST,XGBoost
hedge_E_count,0.0,4,AGAINST,XGBoost
hedge_I_count,0.0,4,AGAINST,XGBoost
hedge_N_count,0.0,4,AGAINST,XGBoost
D_ratio,0.0,4,AGAINST,XGBoost
E_ratio,0.0,4,AGAINST,XGBoost
I_ratio,0.0,4,AGAINST,XGBoost
N_ratio,0.0,4,AGAINST,XGBoost
