feature,shap_importance,iteration,stance,model
fear,0.7031641,4,All_Stances,XGBoost
surprise,0.57270604,4,All_Stances,XGBoost
noun_ratio,0.45765656,4,All_Stances,XGBoost
joy,0.36114824,4,All_Stances,XGBoost
function_word_ratio,0.35333335,4,All_Stances,XGBoost
disgust,0.34488565,4,All_Stances,XGBoost
avg_word_length,0.33887598,4,All_Stances,XGBoost
anger,0.33522096,4,All_Stances,XGBoost
punctuation_density,0.32399994,4,All_Stances,XGBoost
stopword_ratio,0.3235404,4,All_Stances,XGBoost
sadness,0.3061683,4,All_Stances,XGBoost
std_word_length,0.28954166,4,All_Stances,XGBoost
verb_ratio,0.28180456,4,All_Stances,XGBoost
sentiment_subjectivity,0.26982978,4,All_Stances,XGBoost
hedge_C_count,0.2697742,4,All_Stances,XGBoost
word_count,0.2574127,4,All_Stances,XGBoost
pronoun_ratio,0.19445752,4,All_Stances,XGBoost
type_token_ratio,0.1795679,4,All_Stances,XGBoost
adj_ratio,0.17319849,4,All_Stances,XGBoost
punctuation_usage,0.16040748,4,All_Stances,XGBoost
adv_ratio,0.1494957,4,All_Stances,XGBoost
readability_score,0.13981058,4,All_Stances,XGBoost
C_ratio,0.13681178,4,All_Stances,XGBoost
hapax_legomena,0.13465357,4,All_Stances,XGBoost
subordinate_clause_ratio,0.11161069,4,All_Stances,XGBoost
sentence_length_variation,0.10051094,4,All_Stances,XGBoost
sentiment_polarity,0.07783429,4,All_Stances,XGBoost
doubt_adverbs_count,0.06869533,4,All_Stances,XGBoost
doubt_adjectives_count,0.048888035,4,All_Stances,XGBoost
certainty_adjectives_count,0.0485225,4,All_Stances,XGBoost
sentence_count,0.044528887,4,All_Stances,XGBoost
hedges_score,0.024401259,4,All_Stances,XGBoost
certainty_adverbs_count,0.022531655,4,All_Stances,XGBoost
hedge_N_count,0.020157976,4,All_Stances,XGBoost
N_ratio,0.017368738,4,All_Stances,XGBoost
certainty_verbs_count,0.01311458,4,All_Stances,XGBoost
D_ratio,0.012963366,4,All_Stances,XGBoost
E_ratio,0.010292586,4,All_Stances,XGBoost
avg_dependency_depth,0.0,4,All_Stances,XGBoost
doubt_verbs_count,0.0,4,All_Stances,XGBoost
hedge_D_count,0.0,4,All_Stances,XGBoost
hedge_I_count,0.0,4,All_Stances,XGBoost
hedge_E_count,0.0,4,All_Stances,XGBoost
I_ratio,0.0,4,All_Stances,XGBoost
