feature,mean_feat_when_shap_positive,std_feat_when_shap_positive,count_shap_positive,mean_feat_when_shap_negative,std_feat_when_shap_negative,count_shap_negative,overall_mean_feat,overall_std_feat,feature_shap_correlation,total_observations
word_count,-0.008185791770473164,0.7676140162172369,3674,0.012494411015017276,1.208066470720192,2445,7.750220084960715e-05,0.9679151637750524,-0.3113508693448266,6119
sentence_count,-0.18369820431283745,0.683373463236905,3822,0.3703135010022635,1.313999944184286,2297,0.024271216688761955,1.0057882194701888,-0.4884223509718804,6119
avg_word_length,-0.3788295224190614,0.7710797620479796,3566,0.3976748381790866,1.004883723999488,2553,-0.054852462015879226,0.9561918829670546,-0.5867369647649919,6119
std_word_length,0.2243033794968571,0.8642884300187665,2957,-0.20768494880527807,1.096953382171598,3162,0.0010729343111484085,1.0145170924718787,0.2959171247724156,6119
type_token_ratio,-0.49787567385206993,1.0180146617664858,2988,0.32183286562511126,0.9318342535675889,3131,-0.07844317881970282,1.0574172235589938,-0.5533689019677351,6119
hapax_legomena,-0.27361031017870097,0.9449362104587536,2935,0.10770478619152356,1.1227827871018918,3184,-0.07519434893621121,1.058478255640375,-0.210315359706806,6119
stopword_ratio,0.49954810319797033,1.038563883507007,2996,-0.45875648170227595,0.6556384849926074,3123,0.010450992780668661,0.9883861016046407,0.5300531775583727,6119
punctuation_density,0.5485890107243987,0.9345632464943819,2933,-0.4450423093854233,0.8215204099236493,3186,0.03123169974713234,1.008149352254194,0.6190878778486149,6119
noun_ratio,0.29085518800233295,0.836581741799682,3185,-0.34827272335693593,1.0857502100474468,2934,-0.015600326285638075,1.0155531273454064,0.4024316918021427,6119
verb_ratio,-0.719221739339519,0.5977754799766141,3130,0.7273959130200309,0.8070818861969228,2989,-0.012580104611181864,1.0118650319927804,-0.7828683814851992,6119
adj_ratio,0.2350343663076217,0.8742831902782685,3224,-0.28184911434330745,1.044862360168961,2895,-0.00951174849617628,0.9928294316789935,0.34619753446587553,6119
adv_ratio,0.03223407638190115,1.001274150844823,3086,0.06499505679532411,1.1857897593293891,3033,0.048472686219115046,1.0966527144989475,-0.2057422650621121,6119
pronoun_ratio,0.27383890334811134,1.0690176108266505,2473,-0.20141129902177676,0.9939032156726432,3646,-0.009338452076077548,1.0510432226470066,0.1467985195113875,6119
avg_dependency_depth,,,0,,,0,0.0,0.0,,6119
function_word_ratio,0.1332811523179216,0.9945925519117774,2983,-0.12309164775310096,0.9750465873893646,3136,0.0018895685586918667,0.9928490966204366,0.16638226875672557,6119
