feature,shap_importance,iteration,stance,model
function_word_ratio,1.0769601,4,NONE,XGBoost
fear,1.0027649,4,NONE,XGBoost
anger,0.7524518,4,NONE,XGBoost
noun_ratio,0.55555767,4,NONE,XGBoost
disgust,0.49461588,4,NONE,XGBoost
surprise,0.4601366,4,NONE,XGBoost
avg_word_length,0.40182948,4,NONE,XGBoost
verb_ratio,0.38734242,4,NONE,XGBoost
joy,0.35265964,4,NONE,XGBoost
std_word_length,0.35078084,4,NONE,XGBoost
adj_ratio,0.3220344,4,NONE,XGBoost
word_count,0.29815164,4,NONE,XGBoost
sentiment_subjectivity,0.28229535,4,NONE,XGBoost
sadness,0.2725895,4,NONE,XGBoost
readability_score,0.2558755,4,NONE,XGBoost
sentiment_polarity,0.22238344,4,NONE,XGBoost
subordinate_clause_ratio,0.20668034,4,NONE,XGBoost
type_token_ratio,0.1933858,4,NONE,XGBoost
hapax_legomena,0.19131154,4,NONE,XGBoost
stopword_ratio,0.16940275,4,NONE,XGBoost
punctuation_usage,0.16007248,4,NONE,XGBoost
punctuation_density,0.13635226,4,NONE,XGBoost
hedge_C_count,0.11457729,4,NONE,XGBoost
pronoun_ratio,0.1068711,4,NONE,XGBoost
sentence_count,0.09809929,4,NONE,XGBoost
sentence_length_variation,0.082044,4,NONE,XGBoost
hedges_score,0.07790923,4,NONE,XGBoost
C_ratio,0.066420965,4,NONE,XGBoost
adv_ratio,0.058833316,4,NONE,XGBoost
certainty_verbs_count,0.04363451,4,NONE,XGBoost
N_ratio,0.037659954,4,NONE,XGBoost
certainty_adverbs_count,0.025292812,4,NONE,XGBoost
doubt_adverbs_count,0.019890359,4,NONE,XGBoost
certainty_adjectives_count,0.016811121,4,NONE,XGBoost
E_ratio,0.014464642,4,NONE,XGBoost
hedge_N_count,0.012118651,4,NONE,XGBoost
avg_dependency_depth,0.0,4,NONE,XGBoost
hedge_D_count,0.0,4,NONE,XGBoost
doubt_verbs_count,0.0,4,NONE,XGBoost
doubt_adjectives_count,0.0,4,NONE,XGBoost
hedge_E_count,0.0,4,NONE,XGBoost
hedge_I_count,0.0,4,NONE,XGBoost
D_ratio,0.0,4,NONE,XGBoost
I_ratio,0.0,4,NONE,XGBoost
