feature,shap_importance,iteration,stance,model
anger,0.7278369,6,All_Stances,XGBoost
joy,0.51156133,6,All_Stances,XGBoost
noun_ratio,0.48613995,6,All_Stances,XGBoost
hedge_C_count,0.43694872,6,All_Stances,XGBoost
punctuation_density,0.4103266,6,All_Stances,XGBoost
verb_ratio,0.40377823,6,All_Stances,XGBoost
sadness,0.31300122,6,All_Stances,XGBoost
avg_word_length,0.30567813,6,All_Stances,XGBoost
surprise,0.276026,6,All_Stances,XGBoost
sentiment_polarity,0.23870665,6,All_Stances,XGBoost
disgust,0.23343107,6,All_Stances,XGBoost
subordinate_clause_ratio,0.23115173,6,All_Stances,XGBoost
fear,0.21891747,6,All_Stances,XGBoost
sentence_count,0.21879101,6,All_Stances,XGBoost
type_token_ratio,0.19867969,6,All_Stances,XGBoost
word_count,0.19009092,6,All_Stances,XGBoost
std_word_length,0.16775474,6,All_Stances,XGBoost
function_word_ratio,0.1656233,6,All_Stances,XGBoost
punctuation_usage,0.14263089,6,All_Stances,XGBoost
readability_score,0.14260818,6,All_Stances,XGBoost
stopword_ratio,0.13543941,6,All_Stances,XGBoost
adv_ratio,0.12272875,6,All_Stances,XGBoost
doubt_adverbs_count,0.11436056,6,All_Stances,XGBoost
sentiment_subjectivity,0.1127864,6,All_Stances,XGBoost
adj_ratio,0.1030564,6,All_Stances,XGBoost
C_ratio,0.08226517,6,All_Stances,XGBoost
hapax_legomena,0.07217995,6,All_Stances,XGBoost
certainty_adjectives_count,0.07109021,6,All_Stances,XGBoost
sentence_length_variation,0.07085228,6,All_Stances,XGBoost
pronoun_ratio,0.06427554,6,All_Stances,XGBoost
certainty_verbs_count,0.028648201,6,All_Stances,XGBoost
hedges_score,0.022180935,6,All_Stances,XGBoost
hedge_E_count,0.012089976,6,All_Stances,XGBoost
E_ratio,0.011882769,6,All_Stances,XGBoost
doubt_adjectives_count,0.007029711,6,All_Stances,XGBoost
doubt_verbs_count,0.0068848925,6,All_Stances,XGBoost
certainty_adverbs_count,0.0,6,All_Stances,XGBoost
avg_dependency_depth,0.0,6,All_Stances,XGBoost
hedge_D_count,0.0,6,All_Stances,XGBoost
hedge_I_count,0.0,6,All_Stances,XGBoost
hedge_N_count,0.0,6,All_Stances,XGBoost
D_ratio,0.0,6,All_Stances,XGBoost
I_ratio,0.0,6,All_Stances,XGBoost
N_ratio,0.0,6,All_Stances,XGBoost
