feature,Logistic Regression,XGBoost
C_ratio,,0.1050257459282875
E_ratio,,0.08635152876377106
N_ratio,-0.555687037054919,
anger*,0.7008613975246897,
avg_word_length*,0.6797610367154209,0.045303504914045334
disgust,0.5169585420899602,
fear,0.5862335696221598,
function_word_ratio*,-0.7603737941607568,
hapax_legomena,-0.6821859886303315,
hedge_C_count*,,0.03464147076010704
hedge_N_count,0.5793004337618527,
joy*,,0.0363784022629261
pronoun_ratio*,,0.03928336873650551
punctuation_density*,,0.03885524719953537
sentiment_polarity*,,0.0496242418885231
std_word_length*,-0.5719217912462733,0.036731917411088943
surprise*,,0.03999119997024536
type_token_ratio,0.5269529728387635,
