feature,Logistic Regression,XGBoost
D_ratio,-0.8929702403524508,
E_ratio,0.4603935764673623,
adj_ratio,,0.0364835187792778
anger*,,0.04667890444397926
certainty_adjectives_count,,0.04233448952436447
doubt_adverbs_count*,-0.4713863422791724,
function_word_ratio*,,0.0367305614054203
hedge_C_count,0.5170729653660653,0.03910074010491371
hedge_D_count,0.8564655828076785,
hedge_N_count,0.5611808278155624,
joy*,,0.05014593154191971
noun_ratio,-0.7839722378848004,
pronoun_ratio,,0.04192860797047615
sadness,,0.04093656316399574
sentiment_polarity*,,0.05197686702013016
stopword_ratio*,-0.5082755150282222,
surprise,,0.04881364479660988
type_token_ratio,-0.5141054953376939,
word_count,-0.5676620600911936,
