feature,Logistic Regression,XGBoost
E_ratio,,0.034651223570108414
I_ratio,0.5542228552669191,
adv_ratio,,0.03849729523062706
avg_word_length*,-0.7500212298927564,0.03628447651863098
doubt_adverbs_count,,0.0738944411277771
fear*,,0.05853082612156868
function_word_ratio*,0.45325473547268946,
hapax_legomena,0.3108861053673627,
hedge_C_count,,0.03467286378145218
hedge_D_count,-0.31092989835617674,
hedge_E_count,,0.061770956963300705
hedge_I_count,-0.5069151515391526,
joy*,0.3383753521586714,
noun_ratio,0.5370601279452071,
std_word_length,0.3875526965161846,
stopword_ratio,,0.04300784319639206
type_token_ratio,-0.37564884235253865,
verb_ratio*,,0.04250984638929367
word_count,,0.03497365862131119
