feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,,0.04801236838102341,0.9916 ± 0.0214,0.9915 ± 0.0221
D_ratio,-0.5158532243514296,,0.002 ± 0.0107,0.0019 ± 0.0095
E_ratio,,0.045651987195014954,0.0048 ± 0.017,0.0033 ± 0.0132
adv_ratio,,0.057670775800943375,0.0218 ± 0.038,0.0292 ± 0.0365
disgust*,-0.4910371680460318,,0.0029 ± 0.0109,0.0182 ± 0.098
doubt_adjectives_count,,0.03603481501340866,0.0933 ± 0.2916,0.1606 ± 0.4084
fear,,0.04003586992621422,0.2871 ± 0.3447,0.3401 ± 0.3807
hedge_C_count,0.7780613430907467,0.037591733038425446,19.9948 ± 11.0668,20.1969 ± 9.1903
hedge_D_count,0.7902239779255917,,0.0518 ± 0.2445,0.0415 ± 0.1998
hedge_E_count,0.38112267510847075,,0.0933 ± 0.3089,0.0725 ± 0.2794
hedge_N_count,0.3199278898551761,,0.0622 ± 0.3167,0.0881 ± 0.4051
joy*,,0.07215892523527145,0.2069 ± 0.2386,0.1112 ± 0.1993
noun_ratio,-0.4195216047900879,,0.4256 ± 0.1485,0.4052 ± 0.1433
sentiment_polarity,0.2961306030380916,,0.1037 ± 0.2502,0.065 ± 0.2426
stopword_ratio,,0.041384872049093246,0.2245 ± 0.1344,0.2479 ± 0.1104
type_token_ratio,-0.3083699249833125,0.04469593986868858,0.8903 ± 0.0912,0.9025 ± 0.0757
word_count,-0.529612431691486,0.06142965704202652,25.9689 ± 12.8553,26.2383 ± 10.8774
