feature,Logistic Regression,XGBoost
C_ratio*,-0.4994742646814513,
N_ratio*,0.571351276058616,0.04681079462170601
avg_word_length*,-0.8689247366725924,
certainty_adjectives_count*,,0.05461739003658295
fear*,,0.0520767942070961
function_word_ratio,,0.03412902355194092
hapax_legomena,0.45383630535075337,
hedge_E_count,-0.47404322448556546,
hedge_I_count,-0.3899411645266591,
hedge_N_count*,-0.3864632721299782,0.060913391411304474
hedges_score,,0.03774400055408478
noun_ratio,0.3863825381765998,
sentence_count,,0.037649042904376984
sentiment_polarity*,,0.04448511824011803
std_word_length,0.4727254525008616,
type_token_ratio,-0.6151870625658182,0.03838399425148964
word_count,,0.05434398725628853
