feature,mi_score
word_count,0.033844353485472656
hedge_C_count,0.027102093669165717
sentiment_subjectivity,0.023211847066356706
subordinate_clause_ratio,0.02085909985581824
verb_ratio,0.02017985267552347
stopword_ratio,0.01760448440250406
sadness,0.014028448183866171
I_ratio,0.013842106941339472
hedges_score,0.013197544779534942
doubt_adjectives_count,0.012971328969546336
type_token_ratio,0.011324990777630273
joy,0.010887686863685353
punctuation_density,0.010526367604357656
sentiment_polarity,0.00987429117108829
anger,0.00898628122421119
adj_ratio,0.008758481204587776
doubt_adverbs_count,0.00803130420849496
N_ratio,0.007995783169477466
hedge_N_count,0.00782285307364572
std_word_length,0.007622643090736236
sentence_length_variation,0.007299516213393087
function_word_ratio,0.007140254936445656
hedge_I_count,0.005356189601438688
punctuation_usage,0.005082143204075074
C_ratio,0.004055104752802352
sentence_count,0.00389281383562734
pronoun_ratio,0.0036413906632914994
certainty_verbs_count,0.0024574410377191658
surprise,0.0019059783763204496
disgust,0.00010124493976859661
hapax_legomena,0.0
avg_word_length,0.0
adv_ratio,0.0
noun_ratio,0.0
avg_dependency_depth,0.0
readability_score,0.0
certainty_adverbs_count,0.0
fear,0.0
certainty_adjectives_count,0.0
doubt_verbs_count,0.0
hedge_D_count,0.0
hedge_E_count,0.0
E_ratio,0.0
D_ratio,0.0
