feature,mi_score
fear,0.05737644263109987
avg_word_length,0.04912157019695518
hedges_score,0.039059955684876524
surprise,0.035919379469166124
std_word_length,0.035289342710566274
sentiment_subjectivity,0.03232146069173769
adj_ratio,0.03156356920242209
hedge_N_count,0.027263708846059886
readability_score,0.026781426907759087
stopword_ratio,0.026661198660404395
joy,0.026081732522943435
word_count,0.02555503970797246
D_ratio,0.02538276536977868
certainty_adverbs_count,0.021358309635707284
sentiment_polarity,0.021119119658764562
hapax_legomena,0.014912415715992555
hedge_E_count,0.014463941963475557
I_ratio,0.012525422106999251
doubt_adjectives_count,0.011901362214363331
verb_ratio,0.011502884819916792
sentence_length_variation,0.010221594183976501
subordinate_clause_ratio,0.009208059472992192
noun_ratio,0.008767870117112553
avg_dependency_depth,0.008733844747310426
doubt_verbs_count,0.006569543847578796
type_token_ratio,0.005573958537888668
disgust,0.005301080198486519
sentence_count,0.004915917748268717
function_word_ratio,0.0019255181026132107
C_ratio,0.0016942147007144026
hedge_C_count,0.0016440315807473294
adv_ratio,0.001432294818051627
pronoun_ratio,0.000996394569192649
certainty_adjectives_count,0.000756895226243115
punctuation_density,0.0
punctuation_usage,0.0
sadness,0.0
anger,0.0
certainty_verbs_count,0.0
doubt_adverbs_count,0.0
hedge_D_count,0.0
hedge_I_count,0.0
E_ratio,0.0
N_ratio,0.0
