feature,mi_score
avg_word_length,0.08689927129832586
std_word_length,0.0839126958887142
noun_ratio,0.06224662825453131
readability_score,0.056780770825127114
certainty_verbs_count,0.05434122719264156
type_token_ratio,0.05331541763650871
surprise,0.04527251867420423
verb_ratio,0.03872059197493094
sentiment_subjectivity,0.03554888833315406
stopword_ratio,0.03545013644892436
anger,0.03294076000708235
punctuation_usage,0.0308652598633683
adj_ratio,0.02771906130916002
punctuation_density,0.02682559780231597
sentiment_polarity,0.02621830123793778
function_word_ratio,0.025062786608614163
disgust,0.02494454810739888
joy,0.02313493837666636
adv_ratio,0.01979479931583339
hedge_C_count,0.017305481143465418
word_count,0.016930096083163315
pronoun_ratio,0.014943165428877414
hapax_legomena,0.014327496089034497
subordinate_clause_ratio,0.0141592099445087
sadness,0.013178751009504275
sentence_count,0.0
sentence_length_variation,0.0
avg_dependency_depth,0.0
certainty_adverbs_count,0.0
fear,0.0
doubt_adverbs_count,0.0
certainty_adjectives_count,0.0
doubt_verbs_count,0.0
doubt_adjectives_count,0.0
hedges_score,0.0
hedge_D_count,0.0
hedge_E_count,0.0
hedge_I_count,0.0
hedge_N_count,0.0
C_ratio,0.0
D_ratio,0.0
E_ratio,0.0
I_ratio,0.0
N_ratio,0.0
